265	204	125	125
265	205	126	121
265	205	126	121
266	205	125	120
266	206	125	120
266	206	126	121
265	206	126	122
265	206	126	121
265	206	126	121
265	206	126	121
265	206	126	121
265	206	126	121
265	206	126	121
265	206	126	121
265	206	126	121
265	206	126	121
265	206	126	121
265	205	126	121
266	206	126	121
266	206	126	121
266	206	125	121
266	205	125	122
266	205	125	122
266	205	125	122
266	205	126	122
266	205	126	122
266	205	126	122
266	205	126	122
266	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	205	126	122
265	204	126	122
272	198	116	126
270	163	127	161
279	163	113	117
284	151	109	118
294	154	101	102
292	151	109	103
289	147	115	107
288	145	115	109
289	144	117	110
295	144	116	103
307	132	109	96
309	122	104	98
318	114	112	98
325	104	99	88
326	98	103	98
328	91	102	98
326	80	107	112
321	80	117	103
318	78	126	108
322	79	116	104
323	79	115	104
323	79	114	103
322	78	113	104
321	77	115	103
322	77	113	104
322	76	113	104
