(0, 265, 204, 125, 125)
(1, 265, 204, 125, 125)
(2, 266, 204, 125, 125)
(3, 265, 204, 125, 125)
(4, 265, 204, 125, 125)
(5, 265, 204, 125, 125)
(6, 264, 202, 128, 128)
(7, 265, 204, 125, 125)
(8, 265, 204, 125, 125)
(9, 264, 203, 128, 128)
(10, 265, 204, 125, 125)
(11, 264, 203, 128, 128)
(12, 264, 203, 128, 128)
(13, 265, 203, 128, 128)
(14, 264, 203, 128, 128)
(15, 265, 204, 125, 125)
(16, 264, 203, 128, 128)
(17, 265, 204, 125, 125)
(18, 265, 205, 125, 125)
(19, 265, 203, 128, 128)
(20, 264, 203, 128, 128)
(21, 265, 205, 125, 125)
(22, 264, 203, 128, 128)
(23, 265, 205, 125, 125)
(24, 265, 203, 128, 128)
(25, 264, 203, 128, 128)
(26, 265, 205, 125, 125)
(27, 265, 203, 128, 128)
(28, 265, 203, 128, 128)
(29, 265, 203, 128, 128)
(30, 264, 203, 128, 128)
(31, 264, 203, 128, 128)
(32, 264, 204, 128, 128)
(33, 265, 205, 125, 125)
(34, 265, 203, 128, 128)
(35, 265, 204, 128, 128)
(36, 264, 204, 128, 128)
(37, 264, 204, 128, 128)
(38, 264, 204, 128, 128)
(39, 264, 204, 128, 128)
(40, 264, 204, 128, 128)
(41, 265, 205, 125, 125)
(42, 265, 204, 128, 128)
(43, 265, 204, 128, 128)
(44, 265, 204, 128, 128)
(45, 265, 204, 128, 128)
(46, 265, 204, 128, 128)
(47, 265, 204, 128, 128)
(48, 265, 204, 128, 128)
(49, 265, 204, 128, 128)
(50, 265, 204, 128, 128)
(51, 265, 204, 128, 128)
(52, 265, 204, 128, 128)
(53, 265, 204, 128, 128)
(54, 265, 204, 128, 128)
(55, 265, 204, 128, 128)
(56, 265, 204, 128, 128)
(57, 265, 204, 128, 128)
(58, 265, 204, 128, 128)
(59, 265, 204, 128, 128)
(60, 265, 204, 128, 128)
(61, 265, 204, 128, 128)
(62, 263, 203, 130, 130)
(63, 265, 204, 127, 127)
(64, 264, 204, 127, 127)
(65, 265, 205, 125, 125)
(66, 265, 204, 125, 125)
(67, 264, 203, 127, 127)
(68, 265, 205, 125, 125)
(69, 264, 203, 127, 127)
(70, 265, 204, 125, 125)
(71, 265, 203, 127, 127)
(72, 266, 201, 125, 125)
(73, 272, 175, 123, 123)
(74, 275, 164, 125, 125)
(75, 277, 156, 125, 125)
(76, 277, 145, 127, 127)
(77, 279, 138, 127, 127)
(78, 280, 136, 127, 127)
(79, 279, 135, 127, 127)
(80, 280, 133, 127, 127)
(81, 281, 129, 127, 127)
(82, 286, 122, 125, 125)
(83, 293, 107, 125, 125)
(84, 299, 94, 125, 125)
(85, 307, 83, 125, 125)
(86, 312, 75, 125, 125)
(87, 312, 72, 127, 127)
(88, 314, 69, 127, 127)
(89, 317, 67, 125, 125)
(90, 318, 64, 125, 125)
(91, 319, 64, 125, 125)
(92, 320, 65, 123, 123)
(93, 320, 65, 123, 123)
(94, 320, 65, 123, 123)
(95, 320, 65, 123, 123)
(96, 320, 65, 123, 123)
(97, 320, 65, 123, 123)
