565	320	125	125
568	330	124	115
561	330	138	118
560	327	144	123
564	332	136	116
561	329	140	118
563	328	136	122
564	328	136	121
564	329	136	119
559	332	141	115
557	332	144	114
554	333	150	113
561	332	139	114
561	329	140	119
564	328	136	119
566	334	131	111
563	326	136	124
565	332	134	113
564	329	135	116
563	323	139	126
564	333	136	112
563	330	136	114
562	326	138	124
565	323	137	127
565	328	131	121
563	329	136	121
565	332	134	113
562	328	140	120
561	332	142	115
561	327	139	121
560	327	140	122
564	325	136	123
561	331	141	117
560	326	141	123
566	329	133	119
562	329	137	121
561	327	140	123
564	331	137	115
561	330	139	116
557	331	145	116
564	328	134	120
563	332	135	116
559	330	144	118
565	330	132	116
560	330	140	118
567	331	130	115
565	325	133	126
563	329	136	120
563	328	137	122
563	331	136	117
569	328	125	118
563	328	137	120
560	329	140	121
566	330	134	116
565	329	134	119
565	330	133	117
562	326	137	123
562	328	137	118
563	327	137	121
561	326	140	122
562	329	139	117
565	333	133	110
560	330	141	117
562	327	141	121
568	329	130	117
563	328	133	119
567	331	129	114
559	327	141	123
566	331	131	115
